index;raw;decoding;original_shape;RandomResizedCrop;RandomHorizontalFlip;ToTensor;Normalize;
106;233930;2359329;(1024, 768);150561;150561;602145;602145;
107;222291;2098209;(1024, 683);150561;150561;602145;602145;
108;363885;2359329;(1024, 768);150561;150561;602145;602145;
109;300759;2359329;(1024, 768);150561;150561;602145;602145;
110;604757;2359329;(1024, 768);150561;150561;602145;602145;
111;617423;2110497;(1024, 687);150561;150561;602145;602145;
112;752632;2098209;(683, 1024);150561;150561;602145;602145;
113;369202;2082849;(678, 1024);150561;150561;602145;602145;
114;114731;2359329;(1024, 768);150561;150561;602145;602145;
115;154099;2359329;(1024, 768);150561;150561;602145;602145;
116;170597;2359329;(1024, 768);150561;150561;602145;602145;
117;344101;1769505;(1024, 576);150561;150561;602145;602145;
118;474892;2359329;(768, 1024);150561;150561;602145;602145;
119;290385;2098209;(1024, 683);150561;150561;602145;602145;
120;308890;2359329;(768, 1024);150561;150561;602145;602145;
121;296215;1990689;(1024, 648);150561;150561;602145;602145;
122;317604;2359329;(1024, 768);150561;150561;602145;602145;
123;126976;2359329;(768, 1024);150561;150561;602145;602145;
124;86840;1769505;(768, 768);150561;150561;602145;602145;
125;151093;3145761;(1024, 1024);150561;150561;602145;602145;
126;533915;2359329;(1024, 768);150561;150561;602145;602145;
127;147802;2359329;(1024, 768);150561;150561;602145;602145;
128;143646;2187297;(1024, 712);150561;150561;602145;602145;
129;1004024;2098209;(1024, 683);150561;150561;602145;602145;
130;55624;1941537;(632, 1024);150561;150561;602145;602145;
131;71659;2279457;(742, 1024);150561;150561;602145;602145;
132;340690;1993761;(649, 1024);150561;150561;602145;602145;
133;73072;2098209;(1024, 683);150561;150561;602145;602145;
134;383942;2101281;(1024, 684);150561;150561;602145;602145;
135;164454;2359329;(1024, 768);150561;150561;602145;602145;
136;204865;2568225;(1024, 836);150561;150561;602145;602145;
137;119947;2088993;(1024, 680);150561;150561;602145;602145;
138;445659;2104353;(1024, 685);150561;150561;602145;602145;
139;138648;3145761;(1024, 1024);150561;150561;602145;602145;
140;576726;2098209;(1024, 683);150561;150561;602145;602145;
141;545041;2098209;(1024, 683);150561;150561;602145;602145;
142;290013;2224161;(1024, 724);150561;150561;602145;602145;
143;205257;2082849;(1024, 678);150561;150561;602145;602145;
144;322356;829473;(1024, 270);150561;150561;602145;602145;
145;376886;2098209;(1024, 683);150561;150561;602145;602145;
146;74958;2033697;(1024, 662);150561;150561;602145;602145;
147;357460;2092065;(1024, 681);150561;150561;602145;602145;
148;125158;2107425;(1024, 686);150561;150561;602145;602145;
149;150522;2098209;(1024, 683);150561;150561;602145;602145;
150;489083;2088993;(1024, 680);150561;150561;602145;602145;
151;181392;2095137;(1024, 682);150561;150561;602145;602145;
152;434504;2208801;(1024, 719);150561;150561;602145;602145;
153;226562;2049057;(1024, 667);150561;150561;602145;602145;
154;57601;2095137;(1024, 682);150561;150561;602145;602145;
155;181186;2098209;(1024, 683);150561;150561;602145;602145;
156;168273;1794081;(1024, 584);150561;150561;602145;602145;
157;440764;2085921;(1024, 679);150561;150561;602145;602145;
158;887969;2359329;(768, 1024);150561;150561;602145;602145;
159;501711;2098209;(1024, 683);150561;150561;602145;602145;
160;291314;2095137;(1024, 682);150561;150561;602145;602145;
161;243236;3145761;(1024, 1024);150561;150561;602145;602145;
162;183541;2264097;(1024, 737);150561;150561;602145;602145;
163;226705;2095137;(1024, 682);150561;150561;602145;602145;
164;315845;2092065;(1024, 681);150561;150561;602145;602145;
165;159146;2101281;(1024, 684);150561;150561;602145;602145;
166;1419279;2101281;(1024, 684);150561;150561;602145;602145;
167;680884;1566753;(1024, 510);150561;150561;602145;602145;
168;261242;2359329;(1024, 768);150561;150561;602145;602145;
169;207673;2359329;(1024, 768);150561;150561;602145;602145;
170;126267;2337825;(1024, 761);150561;150561;602145;602145;
171;123405;2359329;(1024, 768);150561;150561;602145;602145;
172;252832;2098209;(1024, 683);150561;150561;602145;602145;
173;428103;2359329;(1024, 768);150561;150561;602145;602145;
174;202955;2359329;(1024, 768);150561;150561;602145;602145;
175;251655;2098209;(1024, 683);150561;150561;602145;602145;
176;873772;2098209;(1024, 683);150561;150561;602145;602145;
177;197081;2098209;(1024, 683);150561;150561;602145;602145;
178;448026;2359329;(1024, 768);150561;150561;602145;602145;
179;192263;2082849;(678, 1024);150561;150561;602145;602145;
180;76246;2359329;(1024, 768);150561;150561;602145;602145;
181;483524;2095137;(1024, 682);150561;150561;602145;602145;
182;406355;2098209;(1024, 683);150561;150561;602145;602145;
183;74388;2359329;(1024, 768);150561;150561;602145;602145;
184;272855;2257953;(1024, 735);150561;150561;602145;602145;
185;111037;2104353;(1024, 685);150561;150561;602145;602145;
186;134766;2242593;(730, 1024);150561;150561;602145;602145;
187;381566;1726497;(1024, 562);150561;150561;602145;602145;
188;187405;1769505;(1024, 576);150561;150561;602145;602145;
189;337120;2970657;(967, 1024);150561;150561;602145;602145;
190;180047;2101281;(1024, 684);150561;150561;602145;602145;
191;214826;2359329;(768, 1024);150561;150561;602145;602145;
192;221834;2359329;(1024, 768);150561;150561;602145;602145;
193;931681;2365473;(770, 1024);150561;150561;602145;602145;
194;630496;2359329;(1024, 768);150561;150561;602145;602145;
195;567244;2359329;(1024, 768);150561;150561;602145;602145;
196;102128;2098209;(1024, 683);150561;150561;602145;602145;
197;227776;2098209;(1024, 683);150561;150561;602145;602145;
198;258135;2359329;(768, 1024);150561;150561;602145;602145;
199;563923;2082849;(678, 1024);150561;150561;602145;602145;
200;332761;2516001;(1024, 819);150561;150561;602145;602145;
201;155002;3145761;(1024, 1024);150561;150561;602145;602145;
202;771534;2359329;(1024, 768);150561;150561;602145;602145;
203;158412;2359329;(1024, 768);150561;150561;602145;602145;
204;116717;2098209;(683, 1024);150561;150561;602145;602145;
205;172501;2061345;(1024, 671);150561;150561;602145;602145;
206;146255;1766433;(1024, 575);150561;150561;602145;602145;
207;402420;2098209;(683, 1024);150561;150561;602145;602145;
208;119553;3145761;(1024, 1024);150561;150561;602145;602145;
209;332741;2359329;(1024, 768);150561;150561;602145;602145;
210;488961;2098209;(1024, 683);150561;150561;602145;602145;
211;252803;2359329;(768, 1024);150561;150561;602145;602145;
212;590808;1978401;(644, 1024);150561;150561;602145;602145;
213;88687;1984545;(646, 1024);150561;150561;602145;602145;
214;294637;2098209;(1024, 683);150561;150561;602145;602145;
215;431241;2104353;(1024, 685);150561;150561;602145;602145;
216;453345;2359329;(768, 1024);150561;150561;602145;602145;
217;272726;2770977;(1024, 902);150561;150561;602145;602145;
218;499043;2359329;(768, 1024);150561;150561;602145;602145;
219;112972;2049057;(1024, 667);150561;150561;602145;602145;
220;392347;2098209;(1024, 683);150561;150561;602145;602145;
221;246609;2098209;(1024, 683);150561;150561;602145;602145;
222;326411;2359329;(1024, 768);150561;150561;602145;602145;
223;341304;2359329;(768, 1024);150561;150561;602145;602145;
224;882263;2248737;(1024, 732);150561;150561;602145;602145;
225;246058;2331681;(1024, 759);150561;150561;602145;602145;
226;85759;2098209;(683, 1024);150561;150561;602145;602145;
227;204883;2359329;(768, 1024);150561;150561;602145;602145;
228;382069;2359329;(768, 1024);150561;150561;602145;602145;
229;461724;2098209;(683, 1024);150561;150561;602145;602145;
230;133335;2101281;(1024, 684);150561;150561;602145;602145;
231;72685;1824801;(594, 1024);150561;150561;602145;602145;
232;494094;2082849;(678, 1024);150561;150561;602145;602145;
233;142453;2088993;(1024, 680);150561;150561;602145;602145;
234;364317;2359329;(1024, 768);150561;150561;602145;602145;
235;251647;2359329;(1024, 768);150561;150561;602145;602145;
236;654871;2104353;(685, 1024);150561;150561;602145;602145;
237;296211;2359329;(1024, 768);150561;150561;602145;602145;
238;137257;1880097;(1024, 612);150561;150561;602145;602145;
239;241477;3145761;(1024, 1024);150561;150561;602145;602145;
240;460634;2359329;(1024, 768);150561;150561;602145;602145;
241;330736;2098209;(1024, 683);150561;150561;602145;602145;
242;271374;2070561;(1024, 674);150561;150561;602145;602145;
243;300238;2098209;(1024, 683);150561;150561;602145;602145;
244;494105;2359329;(1024, 768);150561;150561;602145;602145;
245;713814;2098209;(1024, 683);150561;150561;602145;602145;
246;86001;2098209;(683, 1024);150561;150561;602145;602145;
247;249188;2359329;(768, 1024);150561;150561;602145;602145;
248;382268;2098209;(1024, 683);150561;150561;602145;602145;
249;298440;1886241;(1024, 614);150561;150561;602145;602145;
250;211835;2359329;(1024, 768);150561;150561;602145;602145;
251;440625;2359329;(1024, 768);150561;150561;602145;602145;
252;652538;2359329;(1024, 768);150561;150561;602145;602145;
253;227951;2359329;(1024, 768);150561;150561;602145;602145;
254;106108;2359329;(1024, 768);150561;150561;602145;602145;
255;94230;2359329;(768, 1024);150561;150561;602145;602145;
256;152940;2359329;(768, 1024);150561;150561;602145;602145;
257;332160;2359329;(1024, 768);150561;150561;602145;602145;
258;541452;2098209;(1024, 683);150561;150561;602145;602145;
259;421509;3145761;(1024, 1024);150561;150561;602145;602145;
260;85481;2098209;(1024, 683);150561;150561;602145;602145;
261;491783;2098209;(1024, 683);150561;150561;602145;602145;
262;395207;2088993;(680, 1024);150561;150561;602145;602145;
263;376336;2098209;(1024, 683);150561;150561;602145;602145;
264;157747;3145761;(1024, 1024);150561;150561;602145;602145;
265;305339;2098209;(1024, 683);150561;150561;602145;602145;
266;545764;2924577;(1024, 952);150561;150561;602145;602145;
267;175207;2359329;(1024, 768);150561;150561;602145;602145;
268;30934;2098209;(683, 1024);150561;150561;602145;602145;
269;139241;2386977;(1024, 777);150561;150561;602145;602145;
270;244154;2104353;(1024, 685);150561;150561;602145;602145;
271;184441;2359329;(1024, 768);150561;150561;602145;602145;
272;5400373;41990433;(4320, 3240);150561;150561;602145;602145;
273;89462;2208801;(719, 1024);150561;150561;602145;602145;
274;55827;1499169;(1024, 488);150561;150561;602145;602145;
275;209537;1935393;(1024, 630);150561;150561;602145;602145;
276;469666;2359329;(1024, 768);150561;150561;602145;602145;
277;144873;1751073;(1024, 570);150561;150561;602145;602145;
278;393184;2104353;(1024, 685);150561;150561;602145;602145;
279;63187;2359329;(1024, 768);150561;150561;602145;602145;
280;507087;2359329;(1024, 768);150561;150561;602145;602145;
281;520181;2359329;(1024, 768);150561;150561;602145;602145;
282;97384;2101281;(1024, 684);150561;150561;602145;602145;
283;483868;2307105;(751, 1024);150561;150561;602145;602145;
284;99154;1539105;(1024, 501);150561;150561;602145;602145;
285;755482;2104353;(1024, 685);150561;150561;602145;602145;
286;248724;2359329;(1024, 768);150561;150561;602145;602145;
287;305755;2098209;(1024, 683);150561;150561;602145;602145;
288;75992;2359329;(1024, 768);150561;150561;602145;602145;
289;127667;2359329;(1024, 768);150561;150561;602145;602145;
290;785073;1886241;(614, 1024);150561;150561;602145;602145;
291;75633;2359329;(1024, 768);150561;150561;602145;602145;
292;622548;2098209;(1024, 683);150561;150561;602145;602145;
293;372290;2359329;(1024, 768);150561;150561;602145;602145;
294;235773;2359329;(1024, 768);150561;150561;602145;602145;
295;324089;2780193;(1024, 905);150561;150561;602145;602145;
296;320827;2088993;(1024, 680);150561;150561;602145;602145;
297;152418;2359329;(1024, 768);150561;150561;602145;602145;
298;446664;2098209;(1024, 683);150561;150561;602145;602145;
299;111461;2088993;(680, 1024);150561;150561;602145;602145;
300;180983;2362401;(1024, 769);150561;150561;602145;602145;
301;73488;2098209;(1024, 683);150561;150561;602145;602145;
302;484921;2098209;(1024, 683);150561;150561;602145;602145;
303;656008;2098209;(1024, 683);150561;150561;602145;602145;
304;362578;1938465;(631, 1024);150561;150561;602145;602145;
305;98194;1769505;(1024, 576);150561;150561;602145;602145;
306;60299;1145889;(373, 1024);150561;150561;602145;602145;
307;118291;2257953;(1024, 735);150561;150561;602145;602145;
308;62305;2092065;(1024, 681);150561;150561;602145;602145;
309;204140;1763361;(574, 1024);150561;150561;602145;602145;
310;181982;2359329;(1024, 768);150561;150561;602145;602145;
311;139680;2359329;(768, 1024);150561;150561;602145;602145;
312;392832;1944609;(1024, 633);150561;150561;602145;602145;
313;285395;2282529;(1024, 743);150561;150561;602145;602145;
314;180938;2092065;(1024, 681);150561;150561;602145;602145;
315;83791;2095137;(1024, 682);150561;150561;602145;602145;
316;283378;2085921;(679, 1024);150561;150561;602145;602145;
317;943702;2098209;(1024, 683);150561;150561;602145;602145;
318;78457;2119713;(1024, 690);150561;150561;602145;602145;
319;169368;2104353;(1024, 685);150561;150561;602145;602145;
320;434856;2602017;(1024, 847);150561;150561;602145;602145;
321;286342;3145761;(1024, 1024);150561;150561;602145;602145;
322;1103883;2012193;(1024, 655);150561;150561;602145;602145;
323;120246;2359329;(1024, 768);150561;150561;602145;602145;
324;237959;1766433;(575, 1024);150561;150561;602145;602145;
325;989906;2350113;(1024, 765);150561;150561;602145;602145;
326;332550;2067489;(1024, 673);150561;150561;602145;602145;
327;163897;1938465;(631, 1024);150561;150561;602145;602145;
328;158409;2359329;(1024, 768);150561;150561;602145;602145;
329;107490;2411553;(785, 1024);150561;150561;602145;602145;
330;127005;2537505;(1024, 826);150561;150561;602145;602145;
331;616625;2024481;(1024, 659);150561;150561;602145;602145;
332;268661;2098209;(683, 1024);150561;150561;602145;602145;
333;127051;2261025;(1024, 736);150561;150561;602145;602145;
334;105083;2359329;(1024, 768);150561;150561;602145;602145;
335;61054;2098209;(1024, 683);150561;150561;602145;602145;
336;308162;2095137;(1024, 682);150561;150561;602145;602145;
337;197922;3145761;(1024, 1024);150561;150561;602145;602145;
338;140327;2359329;(1024, 768);150561;150561;602145;602145;
339;45624;1969185;(1024, 641);150561;150561;602145;602145;
340;222234;2098209;(1024, 683);150561;150561;602145;602145;
341;266079;2104353;(1024, 685);150561;150561;602145;602145;
342;394751;2098209;(683, 1024);150561;150561;602145;602145;
343;134884;2359329;(1024, 768);150561;150561;602145;602145;
344;226541;2359329;(1024, 768);150561;150561;602145;602145;
345;234723;2359329;(1024, 768);150561;150561;602145;602145;
346;126075;2359329;(1024, 768);150561;150561;602145;602145;
347;105012;2101281;(1024, 684);150561;150561;602145;602145;
348;124375;3145761;(1024, 1024);150561;150561;602145;602145;
349;743244;3145761;(1024, 1024);150561;150561;602145;602145;
350;252819;2325537;(1024, 757);150561;150561;602145;602145;
351;377495;2098209;(683, 1024);150561;150561;602145;602145;
352;262847;2088993;(1024, 680);150561;150561;602145;602145;
353;129050;3145761;(1024, 1024);150561;150561;602145;602145;
354;144807;2359329;(1024, 768);150561;150561;602145;602145;
355;131929;1769505;(768, 768);150561;150561;602145;602145;
356;204919;3145761;(1024, 1024);150561;150561;602145;602145;
357;167129;2098209;(1024, 683);150561;150561;602145;602145;
358;839789;2359329;(1024, 768);150561;150561;602145;602145;
359;148680;2095137;(1024, 682);150561;150561;602145;602145;
360;728448;2116641;(1024, 689);150561;150561;602145;602145;
361;507616;2359329;(1024, 768);150561;150561;602145;602145;
362;613723;2098209;(1024, 683);150561;150561;602145;602145;
363;259295;2359329;(768, 1024);150561;150561;602145;602145;
364;137751;2359329;(1024, 768);150561;150561;602145;602145;
365;428060;2098209;(683, 1024);150561;150561;602145;602145;
366;337686;2101281;(1024, 684);150561;150561;602145;602145;
367;158892;2092065;(681, 1024);150561;150561;602145;602145;
368;591016;2359329;(1024, 768);150561;150561;602145;602145;
369;177582;3145761;(1024, 1024);150561;150561;602145;602145;
370;406211;2104353;(1024, 685);150561;150561;602145;602145;
371;267463;2359329;(1024, 768);150561;150561;602145;602145;
372;126896;2359329;(1024, 768);150561;150561;602145;602145;
373;852530;2516001;(1024, 819);150561;150561;602145;602145;
374;240250;2098209;(1024, 683);150561;150561;602145;602145;
375;239149;1766433;(1024, 575);150561;150561;602145;602145;
376;174832;2795553;(910, 1024);150561;150561;602145;602145;
377;572168;2156577;(1024, 702);150561;150561;602145;602145;
378;231744;2362401;(1024, 769);150561;150561;602145;602145;
379;299258;2359329;(768, 1024);150561;150561;602145;602145;
380;379607;2359329;(1024, 768);150561;150561;602145;602145;
381;56536;2386977;(1024, 777);150561;150561;602145;602145;
382;357086;2856993;(1024, 930);150561;150561;602145;602145;
383;222907;2092065;(1024, 681);150561;150561;602145;602145;
384;224406;2350113;(1024, 765);150561;150561;602145;602145;
385;159203;2359329;(1024, 768);150561;150561;602145;602145;
386;78401;2221089;(1024, 723);150561;150561;602145;602145;
387;245124;2334753;(1024, 760);150561;150561;602145;602145;
388;249001;2098209;(1024, 683);150561;150561;602145;602145;
389;679648;2018337;(657, 1024);150561;150561;602145;602145;
390;334937;2088993;(1024, 680);150561;150561;602145;602145;
391;281349;2359329;(768, 1024);150561;150561;602145;602145;
392;594357;2245665;(1024, 731);150561;150561;602145;602145;
393;612957;2218017;(722, 1024);150561;150561;602145;602145;
394;240183;2359329;(768, 1024);150561;150561;602145;602145;
395;403333;2104353;(685, 1024);150561;150561;602145;602145;
396;82199;1966113;(1024, 640);150561;150561;602145;602145;
397;70481;2098209;(1024, 683);150561;150561;602145;602145;
398;206752;2092065;(1024, 681);150561;150561;602145;602145;
399;293344;2359329;(768, 1024);150561;150561;602145;602145;
400;121657;2359329;(768, 1024);150561;150561;602145;602145;
401;383585;2359329;(1024, 768);150561;150561;602145;602145;
402;38712;2108193;(915, 768);150561;150561;602145;602145;
403;286294;2359329;(768, 1024);150561;150561;602145;602145;
404;391841;2101281;(684, 1024);150561;150561;602145;602145;
405;132472;2359329;(1024, 768);150561;150561;602145;602145;
406;224714;2334753;(1024, 760);150561;150561;602145;602145;
407;81733;2104353;(685, 1024);150561;150561;602145;602145;
408;221447;2088993;(1024, 680);150561;150561;602145;602145;
409;468110;2359329;(1024, 768);150561;150561;602145;602145;
410;316977;2359329;(1024, 768);150561;150561;602145;602145;
411;180044;1769505;(1024, 576);150561;150561;602145;602145;
412;339282;2359329;(768, 1024);150561;150561;602145;602145;
413;82731;857121;(1024, 279);150561;150561;602145;602145;
414;745327;2092065;(681, 1024);150561;150561;602145;602145;
415;146403;2208801;(1024, 719);150561;150561;602145;602145;
416;797989;2359329;(1024, 768);150561;150561;602145;602145;
417;143169;2359329;(1024, 768);150561;150561;602145;602145;
418;169612;1766433;(575, 1024);150561;150561;602145;602145;
419;187547;3145761;(1024, 1024);150561;150561;602145;602145;
420;95765;2061345;(1024, 671);150561;150561;602145;602145;
421;187055;2098209;(1024, 683);150561;150561;602145;602145;
422;420055;2122785;(1024, 691);150561;150561;602145;602145;
423;368880;2359329;(768, 1024);150561;150561;602145;602145;
424;176448;3145761;(1024, 1024);150561;150561;602145;602145;
425;483564;2055201;(1024, 669);150561;150561;602145;602145;
426;64938;2092065;(1024, 681);150561;150561;602145;602145;
427;264356;2095137;(682, 1024);150561;150561;602145;602145;
428;263921;2359329;(1024, 768);150561;150561;602145;602145;
429;182125;2359329;(768, 1024);150561;150561;602145;602145;
430;391474;2098209;(1024, 683);150561;150561;602145;602145;
431;239441;2353185;(766, 1024);150561;150561;602145;602145;
432;527342;2359329;(1024, 768);150561;150561;602145;602145;
433;349169;2098209;(683, 1024);150561;150561;602145;602145;
434;279395;2073633;(1024, 675);150561;150561;602145;602145;
435;123820;2359329;(768, 1024);150561;150561;602145;602145;
436;380994;1769505;(1024, 576);150561;150561;602145;602145;
437;187379;2359329;(1024, 768);150561;150561;602145;602145;
438;106698;807969;(1024, 263);150561;150561;602145;602145;
439;1038383;2359329;(1024, 768);150561;150561;602145;602145;
440;476067;2359329;(1024, 768);150561;150561;602145;602145;
441;481482;2359329;(1024, 768);150561;150561;602145;602145;
442;1097555;2261025;(736, 1024);150561;150561;602145;602145;
443;262431;3145761;(1024, 1024);150561;150561;602145;602145;
444;161124;3145761;(1024, 1024);150561;150561;602145;602145;
445;127324;1213473;(1024, 395);150561;150561;602145;602145;
446;213051;2098209;(1024, 683);150561;150561;602145;602145;
447;320197;2098209;(1024, 683);150561;150561;602145;602145;
448;65887;2101281;(1024, 684);150561;150561;602145;602145;
449;394895;2098209;(1024, 683);150561;150561;602145;602145;
450;1082860;3145761;(1024, 1024);150561;150561;602145;602145;
451;229892;2236449;(728, 1024);150561;150561;602145;602145;
452;256535;2098209;(1024, 683);150561;150561;602145;602145;
453;312981;2242593;(1024, 730);150561;150561;602145;602145;
454;50541;2820129;(1024, 918);150561;150561;602145;602145;
455;1240046;2869281;(1024, 934);150561;150561;602145;602145;
456;288653;3145761;(1024, 1024);150561;150561;602145;602145;
457;399268;2092065;(1024, 681);150561;150561;602145;602145;
458;135611;3145761;(1024, 1024);150561;150561;602145;602145;
459;201981;2082849;(1024, 678);150561;150561;602145;602145;
460;415505;2092065;(1024, 681);150561;150561;602145;602145;
461;728863;2098209;(683, 1024);150561;150561;602145;602145;
462;307359;2359329;(1024, 768);150561;150561;602145;602145;
463;250855;2359329;(1024, 768);150561;150561;602145;602145;
464;540467;2098209;(1024, 683);150561;150561;602145;602145;
465;152084;2359329;(1024, 768);150561;150561;602145;602145;
466;75350;1536033;(1024, 500);150561;150561;602145;602145;
467;451613;2098209;(1024, 683);150561;150561;602145;602145;
468;85688;2095137;(682, 1024);150561;150561;602145;602145;
469;608706;2095137;(1024, 682);150561;150561;602145;602145;
470;72840;1938465;(1024, 631);150561;150561;602145;602145;
471;89445;2098209;(683, 1024);150561;150561;602145;602145;
472;181577;2359329;(1024, 768);150561;150561;602145;602145;
473;158341;2359329;(1024, 768);150561;150561;602145;602145;
474;252774;2098209;(1024, 683);150561;150561;602145;602145;
475;641261;1766433;(1024, 575);150561;150561;602145;602145;
476;115174;2092065;(1024, 681);150561;150561;602145;602145;
477;237417;2359329;(1024, 768);150561;150561;602145;602145;
